Iteration,Mean,Best
1,-82.81002,-20.01346
2,-54.40456,-12.68799
3,-40.95404,-12.67913
4,-32.87825,-11.34569
5,-31.37416,-11.34569
6,-33.32292,-11.34569
7,-29.345388,-9.049369
8,-26.772056,-9.049369
9,-31.487016,-9.049369
10,-27.238582,-9.049369
11,-28.180232,-9.049369
12,-23.165022,-9.049369
13,-24.577129,-9.049369
14,-22.355570,-9.049369
15,-25.852007,-9.049369
16,-26.716045,-9.049369
17,-25.398856,-9.049369
18,-26.535627,-9.049369
19,-26.825649,-9.049369
20,-25.133809,-9.049369
21,-26.961844,-9.049369
22,-19.924659,-9.049369
23,-28.922032,-9.049369
24,-19.014603,-9.033582
25,-21.407010,-9.033582
26,-14.873006,-9.033582
27,-13.866694,-9.033582
28,-13.097085,-9.033582
29,-14.713123,-9.009854
30,-18.803888,-9.009854
31,-17.593936,-9.009854
32,-12.753637,-9.009854
33,-11.766786,-9.009854
34,-13.681238,-9.009854
35,-13.971811,-9.009854
36,-14.033801,-9.009854
37,-11.979530,-9.009854
38,-9.769625,-9.009854
39,-14.019202,-9.009854
40,-15.610907,-9.009854
41,-15.113017,-9.009854
42,-15.006170,-9.009854
43,-15.332108,-9.009854
44,-13.510938,-9.009854
45,-11.459998,-9.009854
46,-10.374572,-9.009854
47,-9.425355,-9.009854
48,-12.416277,-9.009854
49,-10.274132,-9.009854
50,-10.474142,-9.009854
51,-10.490994,-9.009854
52,-13.627543,-9.009854
53,-11.739790,-9.009854
54,-10.158358,-9.009854
55,-11.630681,-9.009854
56,-17.967760,-9.009854
57,-12.268437,-9.009854
58,-12.234350,-9.009854
59,-14.319397,-9.009854
60,-16.551531,-9.009854
61,-16.153928,-9.009854
62,-13.861517,-9.007921
63,-14.574480,-9.007921
64,-13.821938,-9.007921
65,-14.209285,-9.007921
66,-14.485479,-9.007921
67,-19.499458,-9.007921
68,-19.016028,-9.007921
69,-17.334294,-9.007921
70,-17.385397,-9.007921
71,-16.756776,-9.007921
72,-17.341994,-9.007921
73,-15.195739,-9.007921
74,-16.710307,-9.007921
75,-21.311012,-9.007921
76,-19.515087,-9.007921
77,-19.375273,-9.007155
78,-16.224201,-9.002368
79,-13.045179,-9.000909
80,-10.289190,-9.000909
81,-9.940770,-9.000909
82,-12.627602,-9.000909
83,-10.805601,-9.000909
84,-9.781439,-9.000909
85,-9.105707,-9.000909
86,-11.685547,-9.000909
87,-10.082615,-9.000909
88,-11.101402,-9.000909
89,-11.685277,-9.000909
90,-16.750119,-9.000504
91,-12.236168,-9.000504
92,-12.020029,-9.000504
93,-15.672617,-9.000344
94,-13.073075,-9.000344
95,-14.250238,-9.000344
96,-12.996797,-9.000344
97,-14.286455,-9.000344
98,-13.436927,-9.000344
99,-14.089882,-9.000344
100,-12.303015,-9.000344
