Iteration,Mean,Best
1,-24061.0610,-316.0993
2,-6339.07670,-32.47602
3,-2841.79084,-32.47602
4,-2555.80308,-32.47602
5,-1089.02475,-31.39872
6,-677.71079,-31.39872
7,-2991.10480,-31.39872
8,-2729.48956,-31.39872
9,-2272.68700,-31.39872
10,-1986.96049,-31.39872
11,-1273.30581,-31.39872
12,-1255.70670,-31.39872
13,-1312.83107,-31.39872
14,-1019.15097,-31.39872
15,-1299.34054,-31.39872
16,-842.79329,-31.39872
17,-829.89016,-31.39872
18,-448.77392,-31.39872
19,-1244.98027,-31.39872
20,-456.44708,-31.39872
21,-470.21217,-31.39872
22,-662.42799,-31.39872
23,-1650.35433,-31.39872
24,-594.26398,-31.39872
25,-1086.51074,-31.39872
26,-1328.49570,-31.39872
27,-1014.59232,-31.39872
28,-1119.68258,-31.39872
29,-1250.00562,-31.39872
30,-1656.69436,-31.39872
31,-415.94889,-31.39872
32,-539.43352,-27.21496
33,-1178.18831,-27.21496
34,-885.96927,-27.21496
35,-1476.78620,-27.21496
36,-503.25544,-27.21496
37,-271.07868,-22.94113
38,-1546.81265,-22.94113
39,-416.05390,-22.94113
40,-781.02342,-22.94113
41,-191.47721,-22.94113
42,-948.94368,-22.94113
43,-136.53368,-22.94113
44,-1296.73482,-22.94113
45,-263.38915,-20.53405
46,-1180.73992,-20.53405
47,-111.41432,-20.53405
48,-1214.01797,-20.53405
49,-576.29026,-19.22974
50,-316.40446,-15.92077
51,-1356.47183,-15.92077
52,-1563.0266,-15.1523
53,-199.1504,-15.1523
54,-1331.7281,-15.1523
55,-768.9684,-15.1523
56,-103.0388,-15.1523
57,-839.0478,-15.1523
58,-76.78983,-15.15057
59,-95.39578,-15.15057
60,-721.83412,-14.04303
61,-835.43122,-14.04303
62,-151.92763,-14.04303
63,-1721.88751,-14.04303
64,-508.80676,-14.04303
65,-299.13435,-6.98891
66,-1109.87968,-6.98891
67,-525.32695,-6.98891
68,-433.6847,-5.7565
69,-811.2762,-5.7565
70,-941.6848,-5.7565
71,-1328.5157,-5.7565
72,-915.3117,-5.7565
73,-583.9720,-5.7565
74,-1290.6110,-5.7565
75,-218.8570,-5.7565
76,-269.5352,-5.7565
77,-1043.1954,-5.7565
78,-680.3114,-5.7565
79,-196.526012,-4.130807
80,-1501.315388,-4.130807
81,-1600.159278,-2.235456
82,-633.941378,-2.235456
83,-1854.814694,-1.327077
84,-1223.011216,-1.327077
85,-2794.844602,-1.327077
86,-1092.269925,-1.327077
87,-164.699903,-1.327077
88,-1027.793598,-1.327077
89,-1013.805355,-1.327077
90,-396.469968,-1.327077
91,-86.714305,-1.327077
92,-244.576601,-1.327077
93,-133.155735,-1.327077
94,-362.707809,-1.327077
95,-364.082264,-1.327077
96,-177.964622,-1.327077
97,-1021.507042,-1.327077
98,-682.961507,-1.327077
99,-1294.864460,-1.327077
100,-1138.084165,-1.327077
