"iteracion","mejor_valor_enjambre","mejor_posicion_enjambre","diferencia_abs"
1,273.388885047852,"9.3883660575375, 8.63847387488931, 7.53664818126708",NA
2,312.535896652988,"9.45180639127723, 9.78286250105016, 10",39.1470116051366
3,320.864865592026,"9.59612705556795, 9.57918410668396, 10",8.3289689390374
4,319.967195071283,"9.58563753395912, 9.46974044825792, 10",0.897670520742849
5,320.402577167802,"9.66191311701236, 9.43238871278342, 9.7814744127899",0.43538209651922
6,328.634721134149,"9.43528643972569, 9.48016668822989, 9.57049007454711",8.23214396634734
7,331.293654476578,"9.59528532884178, 9.59831711866503, 9.53668331629096",2.6589333424285
8,330.282130562577,"9.48169504171025, 9.61950180219758, 9.52470417737384",1.01152391400092
9,330.807416865248,"9.52503569958358, 9.6243391029118, 9.51390940453214",0.525286302671361
10,332.1332894691,"9.55062500864904, 9.54736155842502, 9.55448763975004",1.32587260385202
11,331.650064207214,"9.58280671976341, 9.56257246449248, 9.58625600202467",0.483225261885991
12,330.047696064458,"9.48234474829605, 9.57233492346922, 9.63009418935225",1.6023681427564
13,328.986038191014,"9.64485068765858, 9.47302477031107, 9.60104287353312",1.06165787344389
14,330.966606125456,"9.51473270366795, 9.61882601083358, 9.5266838429639",1.98056793444226
15,331.335839822418,"9.53512039286783, 9.60686957067626, 9.58005529370684",0.369233696962056
16,331.687289935857,"9.53588070140391, 9.51496949577191, 9.51704712493647",0.351450113438432
17,331.437163038902,"9.51879252533594, 9.49795086402943, 9.56054150551383",0.250126896954384
18,331.79349931956,"9.56687073708408, 9.52606471501802, 9.51780875207192",0.356336280657217
19,332.019814389853,"9.55292636963103, 9.56493360063076, 9.52977360439647",0.226315070293708
20,331.540607863124,"9.52357446958727, 9.56685821317542, 9.50250205784094",0.479206526729058
21,330.95314236929,"9.56413793234445, 9.59036076872415, 9.48319732523484",0.587465493833747
22,330.743779506542,"9.61126490732193, 9.58658516139695, 9.50022301745125",0.209362862748833
23,331.522370064141,"9.60783348051039, 9.55459622412425, 9.55007741085331",0.778590557599159
24,331.431757244835,"9.51849238918821, 9.52083633073786, 9.59488163094869",0.0906128193054201
25,331.602014602041,"9.50683539715579, 9.51714798762784, 9.54919987424948",0.170257357206026
26,331.078249427521,"9.48698490998729, 9.52073041466044, 9.57911289073419",0.523765174519951
27,331.514267208532,"9.51718066512566, 9.53226832549913, 9.50478618880095",0.436017781010662
28,331.168775720568,"9.58613099660767, 9.61175012814639, 9.56180698495868",0.34549148796367
29,331.308277666871,"9.58755876600885, 9.53168566262851, 9.49778821950274",0.13950194630263
30,331.579061299653,"9.56526091259586, 9.600114687037, 9.56518504530152",0.270783632782013
31,331.768809679814,"9.55878558161769, 9.54401078430108, 9.50646398287485",0.189748380161234
32,331.736147527481,"9.53183838709488, 9.50943212694271, 9.5336645177467",0.0326621523336144
33,331.789141742023,"9.51871824673507, 9.56940587631903, 9.52634907034842",0.052994214542025
34,332.003166181463,"9.5449448520666, 9.54841207874886, 9.57609704234486",0.214024439440038
35,331.521790456554,"9.50274932198663, 9.53242108533193, 9.57802327701002",0.481375724908276
36,331.416751136248,"9.49139882192489, 9.53152448824005, 9.56027058621878",0.105039320306844
37,331.715184051531,"9.50436783590494, 9.5495714614243, 9.53452026535187",0.298432915283115
38,332.010807728816,"9.52325143915791, 9.54668592687412, 9.55028776491889",0.295623677285448
39,331.846563591166,"9.58084050349275, 9.54887220568603, 9.52509381232735",0.164244137650599
40,331.986510434009,"9.57682593047023, 9.5526306447749, 9.54163679429817",0.139946842843585
41,332.069053479886,"9.55837464270441, 9.56630019076335, 9.54762076788234",0.0825430458764345
42,331.984161153262,"9.54328148931197, 9.5774818793819, 9.55251565827418",0.0848923266231623
43,331.986003895968,"9.54058211535503, 9.57653497476928, 9.55278631789674",0.00184274270571905
