"iteracion","mejor_valor_enjambre","mejor_posicion_enjambre","diferencia_abs"
1,248.287562577031,"-8.21476872079074, 6.54026510193944, 9.57958880346268",NA
2,308.858246843635,"-10, 10, 9.65443586012674",60.5706842666047
3,319.904470972912,"-9.62068923810193, 10, 9.49206340464478",11.0462241292767
4,321.09866499593,"-9.58343796506284, 10, 9.52466704033146",1.19419402301753
5,320.380024350385,"-9.5119918614586, 9.79799164344853, 9.70688298827539",0.718640645544156
6,324.238088001511,"-9.47080141732725, 9.70344621094077, 9.68763084279647",3.85806365112501
7,329.926472978743,"-9.52767666133528, 9.6611195383634, 9.53313089446785",5.68838497723283
8,331.92471562066,"-9.55824406860028, 9.529223257844, 9.52356500432389",1.99824264191676
9,331.913255513489,"-9.52236685753208, 9.52751320553918, 9.55177685393111",0.0114601071708194
10,331.766560033748,"-9.51355277365643, 9.55627294905859, 9.52381833492284",0.146695479741368
11,331.676842417156,"-9.53676376732576, 9.5107781618283, 9.57803743210618",0.089717616592111
12,331.271734559934,"-9.50321146469913, 9.51941975957723, 9.58955876311191",0.405107857221708
13,330.761268478457,"-9.62343164724476, 9.50813690212096, 9.52684102077958",0.510466081476693
14,330.701774363256,"-9.53106822741641, 9.57880302686376, 9.46980969045165",0.0594941152015735
15,331.406258719096,"-9.52135757878799, 9.60004973510659, 9.52374448523083",0.704484355840123
16,331.451913933591,"-9.49164576651649, 9.55078045910474, 9.56585781559495",0.045655214494559
17,331.188857893519,"-9.60818441225402, 9.58128680988122, 9.52164805889918",0.263056040071035
18,331.405008018936,"-9.5714815908383, 9.57246608931046, 9.49596732106367",0.216150125416902
19,331.580458839202,"-9.51896808112497, 9.59162367878217, 9.53134433534598",0.175450820265837
20,331.794086059506,"-9.54545504914603, 9.58341360681124, 9.52306164187284",0.213627220303863
21,331.72673019403,"-9.56823384164415, 9.57635294491623, 9.51593852548593",0.0673558654757471
22,332.005296527174,"-9.5434696179041, 9.52720889894037, 9.5351577494678",0.278566333143317
23,331.985457022979,"-9.53572336737703, 9.52822385236682, 9.56331664059623",0.0198395041948061
24,331.652312295248,"-9.59857354823784, 9.53561205759155, 9.54033543251089",0.333144727731167
25,331.893924045664,"-9.55159490919781, 9.57452583511855, 9.575417961277",0.241611750416325
26,331.641552415029,"-9.5342012237114, 9.51795219884054, 9.58778150591831",0.252371630634912
27,332.100455238711,"-9.55200578902555, 9.53647682881935, 9.5554238804358",0.458902823682365
28,331.553544778748,"-9.60518559690217, 9.55904927583129, 9.54236741459878",0.546910459962987
29,331.625326741866,"-9.49988085455904, 9.53311989962686, 9.55027795352273",0.071781963117644
30,332.069795946357,"-9.53590113241727, 9.54041577588653, 9.56011765629112",0.444469204491327
31,331.975936020856,"-9.52192254229152, 9.54982420617429, 9.56020663418831",0.093859925501647
32,331.874835653222,"-9.56674490698731, 9.55327157088203, 9.58265716096323",0.101100367633421
33,331.797461498858,"-9.51364374193699, 9.56503655483275, 9.53209757662109",0.0773741543644064
34,332.110594416225,"-9.54353377904998, 9.55874100051322, 9.55482731432862",0.313132917367398
35,332.010834469724,"-9.57120603456542, 9.55700868773848, 9.53700570586895",0.0997599465010239
36,331.530062427356,"-9.57694131025115, 9.55959219077066, 9.59914238517572",0.480772042367903
37,331.686656514938,"-9.54048316293935, 9.56539063855941, 9.50401569535736",0.156594087581084
38,332.014686574342,"-9.55655749712441, 9.55267475247373, 9.57389893587523",0.328030059404114
39,332.043828666824,"-9.54898674682614, 9.56390794773158, 9.56648614913428",0.0291420924818908
40,331.743671654831,"-9.52423268435948, 9.52725725394154, 9.5811887290536",0.300157011992781
41,331.902219147688,"-9.56784183677019, 9.57961006173078, 9.54482066036622",0.158547492856769
42,331.762987184078,"-9.51050988045525, 9.55282691158033, 9.57113493664114",0.139231963609234
43,331.746265487001,"-9.57089137354406, 9.55655052751671, 9.58961009973495",0.0167216970774007
44,331.813867281806,"-9.572824825456, 9.5175157178777, 9.5623352042391",0.0676017948053413
45,331.72636693174,"-9.51101668984164, 9.53912231704727, 9.52437004689639",0.0875003500660796
46,331.768928432695,"-9.5548521317463, 9.53108120239725, 9.59007077487987",0.0425615009552303
47,331.879655500057,"-9.51530940338904, 9.55435697238493, 9.53523020633695",0.110727067361381
48,331.936277530884,"-9.52683946773082, 9.52574134712454, 9.55431977664812",0.0566220308276115
49,331.976272564943,"-9.56522346441287, 9.54340580631342, 9.52514235912184",0.0399950340582791
50,331.820256275564,"-9.5142541282931, 9.52908789764021, 9.54155305396948",0.156016289378442
51,332.087112525331,"-9.55576489708576, 9.54037488358108, 9.56184406487849",0.266856249766647
52,332.058162926052,"-9.5285683427979, 9.55002114414539, 9.54679874798627",0.0289495992786897
53,331.978412199959,"-9.52783299135683, 9.56427009755282, 9.56245749919462",0.0797507260933799
54,331.634308806618,"-9.59867035238853, 9.56800526215774, 9.54928290445728",0.34410339334039
55,331.790817415165,"-9.59190347176625, 9.55719204147878, 9.55518229518252",0.15650860854646
56,332.119308142103,"-9.55759114168494, 9.54852123878961, 9.54305878227797",0.328490726938014
57,332.072099113617,"-9.54868876468651, 9.53801250540126, 9.56459032458909",0.0472090284861792
58,332.10036923856,"-9.55625423480406, 9.53665308678853, 9.54772625119829",0.0282701249431625
59,332.122460711557,"-9.54118498762004, 9.55442714485763, 9.54942202409588",0.0220914729974879
60,332.038251863507,"-9.57209212541967, 9.54481467451097, 9.54675150787573",0.0842088480504231
61,332.101935087008,"-9.54157580649735, 9.56029967877356, 9.54464562330134",0.0636832235007887
62,332.116872373353,"-9.54498326765353, 9.53907985113593, 9.54777890687041",0.0149372863452868
63,332.072828712408,"-9.5502202205707, 9.53733814841129, 9.53455269497766",0.0440436609449648
64,332.117399435162,"-9.55439359019479, 9.54258420457256, 9.5422439819467",0.0445707227542016
65,332.118474369906,"-9.54399583449547, 9.53990653045719, 9.54959435400205",0.00107493474422427
66,332.120211495744,"-9.55002145554801, 9.55842680692801, 9.55333925205269",0.00173712583722363
67,332.138852033712,"-9.54725248856712, 9.54972201413978, 9.54896215754612",0.0186405379681673
